Date,Open,High,Low,Close,Volume,MA_20,MA_50,RSI
2024-06-07,221.38,221.38,206.0,216.9,1049677.0,214.55599999999998,200.3364,60.29514761204448
2024-06-10,217.5,217.99,212.53,215.87,649465.0,215.599,201.13100000000003,57.97729187330934
2024-06-11,217.0,219.49,217.0,218.56,403020.0,216.7125,201.9788,62.07745600552951
2024-06-12,216.1,220.5,216.1,219.04,638418.0,217.67950000000002,202.7874,62.77540049080016
2024-06-13,218.05,233.9,218.05,232.44,1922283.0,219.01799999999997,203.80599999999998,76.03536731290926
2024-06-14,234.5,240.3,231.0,239.81,1657876.0,220.2815,204.9664,80.21069303916738
2024-06-20,240.0,260.19,240.0,260.19,3194262.0,222.59449999999998,206.5246,86.97085270577776
2024-06-21,270.0,282.03,260.55,265.65,2106556.0,225.26400000000004,208.1994,88.13979166349782
2024-06-24,268.0,268.0,255.99,258.83,1689230.0,227.43,209.75059999999996,78.6481610827291
2024-06-25,261.4,261.4,256.8,257.58,1476823.0,229.46300000000002,211.2816,77.0112196898543
2024-06-26,258.95,259.8,256.0,257.15,521014.0,231.61749999999998,212.7982,76.42196118068014
2024-06-27,259.0,263.0,258.0,260.2,516921.0,233.54199999999997,214.2868,77.72394676343608
2024-06-28,261.99,262.7,254.92,256.24,1531160.0,235.29100000000003,215.63739999999999,72.1529534213965
2024-07-01,256.95,266.6,255.0,259.09,1920439.0,237.18149999999997,216.9562,73.61853839700827
2024-07-02,260.0,262.0,259.51,261.02,473267.0,239.166,218.3182,74.59368664665152
2024-07-03,262.7,262.98,258.16,261.72,715866.0,241.0855,219.64919999999998,74.955274212745
2024-07-04,262.0,264.5,260.51,262.42,569881.0,243.12800000000001,221.0016,75.33333956335446
2024-07-05,263.79,269.48,259.9,262.09,1554094.0,245.1685,222.29319999999998,74.7603816939453
2024-07-08,264.9,264.9,261.72,263.96,302831.0,247.36699999999996,223.51940000000002,75.87988946384215
2024-07-09,263.96,264.0,260.25,260.9,295153.0,249.483,224.6372,70.3787767116132
2024-07-10,260.01,261.99,258.0,259.9,298774.0,251.63299999999998,225.7218,68.62777318401993
2024-07-11,259.01,260.0,256.0,258.07,332189.0,253.743,226.87559999999996,65.42008471869453
2024-07-12,257.0,259.0,253.0,256.11,581807.0,255.6205,227.9884,62.07359980027599
2024-07-15,258.58,263.0,258.1,260.19,322315.0,257.678,229.2142,65.97535604650295
2024-07-18,260.19,268.9,260.0,267.01,965496.0,259.4065,230.6814,71.29192528019708
2024-07-19,265.01,268.0,259.0,261.14,2256312.0,260.473,232.0632,62.272613728742286
2024-07-22,261.0,261.0,255.11,257.76,775362.0,260.3515,233.334,57.74266630089769
2024-07-23,257.0,262.84,257.0,259.59,454635.0,260.0485,234.5882,59.46206563949042
2024-07-24,258.25,261.94,256.75,257.56,1303580.0,259.985,235.81080000000003,56.70573519902946
2024-07-25,257.7,259.69,254.01,254.75,969448.0,259.8435,237.00639999999999,53.0405630290791
2024-07-26,255.95,260.0,253.2,257.36,302866.0,259.854,238.2664,55.892245797004065
2024-07-29,259.0,266.95,257.3,265.24,845098.0,260.106,239.67100000000002,63.16514667241687
2024-07-30,265.89,268.85,263.01,265.59,630553.0,260.57349999999997,241.05700000000002,63.45339465501369
2024-07-31,266.01,275.0,259.0,259.93,2604068.0,260.6155,242.26159999999996,55.84296970443779
2024-08-01,261.99,261.99,252.1,253.6,565213.0,260.24449999999996,243.2202,48.794471022595374
2024-08-02,254.89,259.95,254.2,256.65,883004.0,259.991,244.06239999999997,51.94203323276396
2024-08-05,256.95,258.8,252.0,252.8,1083166.0,259.51,244.8398,47.936423210923245
2024-08-06,252.9,255.2,252.56,253.07,1239836.0,259.059,245.65599999999998,48.23789685536666
2024-08-07,254.5,256.0,250.5,251.14,875447.0,258.418,246.36859999999996,46.1794378600239
2024-08-08,244.02,244.02,239.05,243.67,1351562.0,257.5565,246.90359999999998,39.205898682487636
2024-08-09,244.0,252.5,238.5,251.86,1004368.0,257.1545,247.65959999999998,48.405266076861516
2024-08-12,251.02,254.0,248.52,249.96,414977.0,256.749,248.22459999999998,46.64196003456576
2024-08-13,248.56,251.0,246.05,249.99,138454.0,256.443,248.7992,46.674990778891974
2024-08-15,250.0,252.0,248.05,249.32,356504.0,255.8995,249.36,45.99025574563926
2024-08-16,250.9,250.9,244.99,245.49,245638.0,254.82350000000002,249.8432,42.180809318465705
2024-08-19,246.0,248.0,244.0,245.56,475391.0,254.04449999999997,250.28779999999998,42.27492121589689
2024-08-20,246.0,255.0,244.05,251.06,840446.0,253.70950000000002,250.87759999999997,49.262842251323704
2024-08-21,251.0,254.99,250.5,253.59,595200.0,253.40950000000004,251.52379999999997,52.13335174536994
2024-08-22,255.0,255.0,252.0,253.32,510945.0,253.1975,252.19039999999998,51.79655980103831
2024-08-23,253.31,259.0,252.25,257.54,1111470.0,253.337,252.96959999999999,56.5240290035937
2024-08-26,257.0,257.36,253.0,253.93,483077.0,253.1655,253.71020000000001,51.84024208486065
2024-08-27,253.93,254.5,252.6,253.08,149117.0,252.55750000000003,254.4544,50.77340834120378
2024-08-28,254.0,254.0,252.0,253.0,115297.0,251.92800000000003,255.1432,50.66772248971401
2024-08-29,253.01,254.9,251.0,252.0,830315.0,251.5315,255.8024,49.286686949325734
2024-08-30,256.0,256.0,251.01,253.24,459865.0,251.51350000000002,256.2184,51.06773311283308
2024-09-02,254.0,255.0,251.0,251.52,244392.0,251.257,256.4526,48.52216452088178
2024-09-03,251.52,253.99,250.16,252.08,256823.0,251.221,256.29040000000003,49.406420278051336
2024-09-04,253.5,253.5,251.0,252.97,417734.0,251.21599999999998,256.0368,50.8513795744511
2024-09-05,253.11,263.98,251.5,261.04,1327601.0,251.71099999999996,256.081,61.569226339979295
2024-09-06,261.0,261.99,258.02,259.96,422637.0,252.52549999999997,256.1286,59.693128612686465
2024-09-09,260.0,261.99,254.0,255.05,435258.0,252.685,256.0866,51.94374067151944
2024-09-10,256.97,260.5,254.01,259.98,525791.0,253.186,256.0822,57.85928928134666
2024-09-11,260.0,261.7,257.12,259.65,1135491.0,253.669,256.1504,57.35038848210417
2024-09-12,257.15,267.49,257.05,265.88,1633395.0,254.497,256.2862,63.82011610650899
2024-09-13,269.5,270.0,261.11,263.88,953442.0,255.41649999999998,256.3434,60.63990421905658
2024-09-16,264.0,265.99,260.0,262.34,218485.0,256.25550000000004,256.35580000000004,58.23361605994196
2024-09-18,263.0,270.0,260.17,268.08,1053653.0,257.1065,256.469,63.97217705425842
2024-09-19,264.1,277.0,264.1,270.67,1256457.0,257.9605,256.6406,66.22702859369109
2024-09-20,270.0,282.99,269.5,278.57,3085746.0,259.223,256.9328,71.98624359382043
2024-09-23,278.0,290.0,277.98,288.05,1119977.0,260.74850000000004,257.4758,77.04493775434499
2024-09-24,288.0,298.0,286.05,295.19,1072648.0,262.81149999999997,258.1816,79.97757478212824
2024-09-25,295.5,298.95,291.0,297.73,932622.0,265.044,258.9748,80.9118275170305
2024-09-26,297.0,301.0,291.05,293.72,408343.0,267.08,259.72700000000003,74.96479396570845
2024-09-27,294.85,294.85,287.02,288.66,766485.0,268.913,260.2964,68.15723845399484
2024-09-30,289.5,292.6,286.14,291.42,297166.0,270.822,260.7846,69.7698063789045
2024-10-01,290.02,294.89,288.3,289.51,309206.0,272.7215,261.35200000000003,67.23237270348315
2024-10-02,289.51,297.0,289.0,295.35,284874.0,274.885,262.1038,70.73677193766054
2024-10-03,294.0,299.5,293.1,295.55,940403.0,277.014,262.823,70.85174153894471
2024-10-04,296.0,298.0,294.0,295.38,717652.0,278.73100000000005,263.57939999999996,70.59784554406583
2024-10-07,295.49,299.99,293.89,298.65,507155.0,280.6655,264.4574,72.62959459337645
2024-10-08,298.5,302.45,295.64,297.38,712118.0,282.78200000000004,265.2578,70.58940246404487
2024-10-09,298.99,301.3,297.95,298.08,1168462.0,284.687,265.9146,71.07174841373681
2024-10-10,299.0,300.0,297.0,297.85,454785.0,286.59700000000004,266.5598,70.66168290295016
2024-10-11,297.85,300.0,297.0,299.81,966487.0,288.2935,267.35740000000004,72.1370376264612
2024-10-14,299.81,301.0,297.77,299.04,1283927.0,290.0515,268.2662,70.6342556989302
2024-10-15,299.1,300.98,297.7,299.61,382107.0,291.915,269.1254,71.11398267581461
2024-10-16,299.99,300.99,293.0,293.93,226678.0,293.2075,269.948,60.50647937569515
2024-10-17,294.94,294.94,289.01,292.28,340633.0,294.288,270.73220000000003,57.80890629726083
2024-10-18,293.0,295.0,291.55,292.28,222654.0,294.9735,271.555,57.80890629726083
2024-10-21,293.01,298.0,290.55,296.15,403252.0,295.3785,272.6046,62.37218245478386
2024-10-22,297.0,298.0,294.61,295.13,303310.0,295.3755,273.47,60.51442600932955
2024-10-23,296.0,299.95,293.5,293.98,2471709.0,295.188,274.35040000000004,58.40234546040475
2024-10-24,296.0,311.0,291.0,309.65,9883837.0,295.9845,275.54359999999997,72.49127205603494
2024-10-25,311.85,321.0,309.5,315.98,1051763.0,297.35049999999995,276.8768,76.02396452148962
2024-10-28,324.0,325.24,315.06,315.94,1407476.0,298.5765,278.2858,75.95758296594704
2024-10-29,316.0,322.85,312.94,318.97,417220.0,300.0495,279.754,77.55625561867076
2024-10-30,319.0,322.0,314.0,315.41,513819.0,301.0525,281.041,71.53749333110231
2024-10-31,317.0,318.0,308.0,311.92,1028949.0,301.871,282.2076,66.12017375259599
2024-11-01,299.88,325.0,294.15,320.58,1120698.0,303.131,283.55280000000005,71.82226285850749
2024-11-04,323.01,325.45,310.11,321.13,572900.0,304.255,284.8246,72.14293239520124
2024-11-05,322.68,322.68,310.0,318.88,2001385.0,305.33000000000004,286.1236,68.69860805680105
2024-11-06,320.0,320.0,312.3,313.15,259501.0,306.0835,287.325,60.74478320957673
2024-11-07,314.0,318.0,310.94,315.18,480633.0,306.95,288.5686,62.405437456223105
2024-11-08,315.5,316.0,312.0,313.03,315988.0,307.611,289.7892,59.53289820822007
2024-11-11,313.25,313.95,312.05,313.42,373913.0,308.33000000000004,290.9928,59.89353394960859
2024-11-12,313.0,316.0,310.6,314.25,337062.0,309.062,292.24739999999997,60.69631679502307
2024-11-13,313.0,316.99,311.05,315.7,413367.0,310.1505,293.5198,62.122703411212136
2024-11-14,316.0,326.0,314.5,323.33,1080157.0,311.703,294.927,68.58370922158086
2024-11-15,326.0,341.0,326.0,330.57,1241097.0,313.61749999999995,296.31759999999997,73.24699873392659
2024-11-18,331.0,336.0,325.0,326.43,628557.0,315.1315,297.647,67.11239303361614
2024-11-19,328.5,333.98,325.0,332.39,1085615.0,316.9945,299.19379999999995,70.89194721326129
2024-11-20,328.0,336.99,328.0,333.03,230743.0,318.947,300.6548,71.27372097207812
2024-11-21,333.0,334.5,329.0,333.76,353620.0,320.15250000000003,302.137,71.72918988780289
2024-11-22,334.8,356.0,331.51,335.77,3465164.0,321.142,303.5348,72.99866024062045
2024-11-25,336.0,351.98,334.05,346.02,1632164.0,322.646,305.1776,78.34004981176955
2024-11-26,346.0,380.62,339.01,343.0,5798098.0,323.84749999999997,306.7908,73.71323444440772
2024-11-27,348.89,357.0,343.01,347.77,2656424.0,325.46549999999996,308.3846,76.11293592758878
2024-11-28,348.01,350.5,331.57,335.52,2157257.0,326.64549999999997,309.6816,60.769909002057915
2024-11-29,337.0,341.22,335.0,339.45,665818.0,327.589,310.8992,63.32421616992968
2024-12-02,341.0,344.89,340.0,342.37,972333.0,328.65099999999995,311.98560000000003,65.14036576008905
2024-12-03,342.99,347.99,342.37,345.72,1354798.0,329.993,312.9962,67.15016223761866
2024-12-04,348.02,351.97,344.5,346.48,959830.0,331.6595,313.9712,67.60645253519235
2024-12-05,348.0,363.0,345.0,360.09,2581424.0,333.905,315.2986,74.4505822101874
2024-12-06,364.0,379.0,358.5,375.15,14056879.0,337.01099999999997,317.0284,79.58943593335277
2024-12-09,366.11,371.0,348.0,367.3,3266009.0,339.705,318.546,71.5150072515757
2024-12-10,370.0,370.0,356.5,357.55,2957087.0,341.87,319.9068,62.9700471892739
2024-12-11,357.5,364.5,357.5,363.38,814630.0,344.254,321.2674,65.61563669723643
2024-12-12,367.0,367.0,359.1,361.64,1409947.0,346.16949999999997,322.5892,64.14270718650525
2024-12-13,361.0,362.9,334.1,346.02,4946717.0,346.942,323.60200000000003,52.70491507576254
2024-12-16,346.0,346.0,330.0,341.39,2146066.0,347.69,324.4568,49.86642245323655
2024-12-17,340.11,361.25,337.5,356.85,1810833.0,348.91299999999995,325.64619999999996,58.00027477311959
2024-12-18,352.51,360.0,346.01,349.64,1080769.0,349.7435,326.6774,53.630213090894934
2024-12-19,348.0,348.48,325.05,333.84,2345091.0,349.7475,327.3972,45.53371676216773
2024-12-20,332.01,349.89,332.01,346.18,712715.0,350.268,328.3246,51.670523515061014
2024-12-23,350.0,362.49,348.0,355.46,2835857.0,350.73999999999995,329.453,55.711814267870096
2024-12-24,356.05,368.0,348.0,365.12,2507585.0,351.84599999999995,330.7632,59.50754941074016
2024-12-26,363.11,375.49,350.0,374.87,2931860.0,353.201,332.38199999999995,62.958281995640704
2024-12-27,376.0,377.49,371.0,373.41,347805.0,355.0955,334.0046,62.104798117795426
2024-12-30,376.0,384.0,368.0,378.33,1997964.0,357.0395,335.7256,63.88171262387894
2024-12-31,380.0,383.0,375.0,382.23,1806809.0,359.03249999999997,337.4472,65.27182052758232
2025-01-01,381.84,390.0,380.0,388.36,1518506.0,361.1645,339.3118,67.39591546945303
2025-01-02,388.36,390.0,384.1,387.75,1523011.0,363.228,341.18719999999996,66.95703910575624
2025-01-03,388.89,389.9,380.01,388.15,891133.0,364.631,342.7572,67.10829414496112
2025-01-06,388.16,390.0,382.31,385.42,544509.0,365.1445,344.1460000000001,64.92393974760043
2025-01-07,385.0,388.4,378.0,382.97,460187.0,365.928,345.48659999999995,62.94383474713716
2025-01-08,382.75,387.0,370.16,373.78,643961.0,366.7395,346.58279999999996,56.03964327618895
2025-01-09,373.78,378.99,369.0,372.38,2182493.0,367.1895,347.7222,55.04902470460923
2025-01-10,371.99,374.0,366.9,369.95,575123.0,367.60499999999996,348.8828,53.288243357597715
2025-01-13,370.0,378.0,369.0,375.92,1641184.0,369.1,349.98960000000005,56.932881036524385
2025-01-14,378.0,390.0,373.01,388.29,2510435.0,371.445,351.33279999999996,63.31915499143553
2025-01-15,390.0,390.0,382.01,385.08,467871.0,372.8565,352.6568,60.79960768014474
2025-01-16,386.99,386.99,382.1,384.05,353645.0,374.577,354.07480000000004,59.97494912035285
2025-01-17,385.0,397.7,382.5,396.61,2249881.0,377.71549999999996,355.70340000000004,66.02631187683966
2025-01-20,398.0,398.0,395.99,396.98,266871.0,380.25550000000004,357.38239999999996,66.18848641728258
2025-01-21,397.1,397.1,392.0,392.38,522587.0,382.10150000000004,358.96160000000003,62.2123835463832
2025-01-22,392.38,394.49,386.05,390.23,2609568.0,383.357,360.4812,60.386470383410966
2025-01-23,393.95,393.95,383.07,386.07,535365.0,383.91700000000003,361.8886,56.90627979966845
2025-01-24,387.01,390.3,387.01,388.85,355831.0,384.68899999999996,363.19899999999996,58.622464972972196
2025-01-27,390.0,390.0,382.51,386.01,487346.0,385.073,364.3078,56.16181673477449
2025-01-28,385.51,392.65,385.05,388.09,1647962.0,385.36600000000004,365.541,57.56664271456533
2025-01-29,389.8,392.0,385.52,389.0,1270497.0,385.398,366.6732,58.197791785287656
2025-01-30,389.0,394.0,388.2,391.66,617513.0,385.5935,367.8458,60.067508821154995
2025-01-31,395.0,413.99,393.01,410.21,1267359.0,386.6965,369.37480000000005,70.10840905836793
2025-02-03,412.01,417.5,410.6,414.02,639052.0,388.12649999999996,370.93980000000005,71.68331424770601
